"SALK_Line","SALK_line","line","sown","germ","percent","comment","Gene_Family","Gene","Source","Line_ID","Sub_Family","Gene_Name","Alternate_Gene_Name","Genomic_Locus.BAC.","Genomic_Locus_Tag","GI","Refseq_ID","Entrez_Gene_ID","Genbank_Nucleotide_Accession","Genbank_Protein_Accession","Protein_Function","Comments","Gene_Family_Criteria","Similar_Seq_or_Common_Domain","TAIR_Community_Accession_Person","TAIR_Community_Accession_Lab","TAIR_Publication_Reference","Pubmed_ID","Web_Page_URL","Web_Page_Title","gene.family.size","GeneFamilyName","delfield","cntrl"
"SALK_040514C","SALK_040514c","040514c",13,7,53.85,"","C3H Transcription Factor Family","AT5G12310","salk","SALK_040514","NULL","NULL","NULL","NULL","At5g12310","NULL","NULL","NULL","NULL","NULL","NULL","putative protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_042624C","SALK_042624c","042624c",14,12,85.71,"","basic region leucine zipper (bZIP) Transcription Factor","AT2G21235","salk","SALK_042624","NULL","BZIP74","NULL","F7O24","AT2G21235","NULL","NM_179679","NULL","NULL","NULL","bZIP protein -related, temporary automated functional assignment ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_042704C","SALK_042704c","042704c",12,7,58.33,"","Glycoside Hydrolase Gene Families","AT2G39930","salk","SALK_042704","Glycoside Hydrolase Family 13","NULL","NULL","NULL","At2g39930","NULL","AAB95278.1","NULL","NULL","NULL","putative isoamylase","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_043219C","SALK_043219c","043219c",25,22,88,"","C3H Transcription Factor Family","AT2G25410","salk","SALK_043219","NULL","NULL","NULL","NULL","At2g25410","NULL","NULL","NULL","NULL","NULL","NULL","similar to RING zinc finger protein, putative","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_043475C","SALK_043475c","043475c",14,13,92.86,"","basic region leucine zipper (bZIP) Transcription Factor","AT3G19290","salk","SALK_043475","NULL","BZIP38","ABF4/AREB2","MVI11.7","AT3G19290","NULL","AF093547","NULL","NULL","NULL","abscisic acid responsive elements-binding factor; almost identical (one amino acid) to GB:AAF27182 from (Arabidopsis thaliana) ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_045623C","SALK_045623c","045623c",14,12,85.71,"","MADS-box Transcription Factor Family","AT5G65050","salk","SALK_045623","NULL","AGL31","MAF2","NULL","At5g65050","NULL","AF312667","NULL","NULL","NULL","MIKC","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_050488C","SALK_050488c","050488c",12,7,58.33,"","Homeobox Transcription Factor Family","AT5G59340","salk","SALK_050488","NULL","WOX2","NULL","NULL","At5g59340","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_054680C","SALK_054680c","054680c",12,13,100,"","C3H Transcription Factor Family","AT3G07120","salk","SALK_054680","NULL","NULL","NULL","NULL","At3g07120","NULL","NULL","NULL","NULL","NULL","NULL","RING finger protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_056385C","SALK_056385c","056385c",14,8,57.14,"","C3H Transcription Factor Family","AT2G46495","salk","SALK_056385","NULL","NULL","NULL","NULL","At2g46495","NULL","NULL","NULL","NULL","NULL","NULL","similar to RING zinc finger protein, putative","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_057747C","SALK_057747c","057747c",11,9,81.82,"","Homeobox Transcription Factor Family","AT5G02030","salk","SALK_057747","NULL","BLR","NULL","NULL","At5g02030","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_058604C","SALK_058604C","058604C",14,11,78.57,"","basic region leucine zipper (bZIP) Transcription Factor","AT1G08320","salk","SALK_058604","NULL","BZIP21","NULL","T27G7.24","AT1G08320","NULL","AJ314757","NULL","NULL","NULL","bZIP protein; similar to basic leucine zipper protein GI:2865394 from (Zea mays) ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_058993C","SALK_058993c","058993c",14,10,71.43,"","Trihelix Transcription Factor Family","AT3G10000","salk","SALK_058993","NULL","NULL","NULL","NULL","At3g10000","NULL","NULL","NULL","NULL","NULL","NULL","hypothetical protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar sequences were identified, then they were aligned, and any mismatched sequences were discarded","NULL","NULL","1501423724","3674","9501260","http://arabidopsis.med.ohio-state.edu/","AGRIS",22,"Trihelix Transcription Factor Family",0,"Treatments"
"SALK_059835C","SALK_059835c","059835c",12,12,100,"","Homeobox Transcription Factor Family","AT4G17460","salk","SALK_059835","NULL","HAT1","NULL","NULL","At4g17460","NULL","NULL","NULL","NULL","NULL","NULL","homeobox-leucine zipper protein HAT1 (HD-Zip prote","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_061729C","SALK_061729c","061729c",13,4,30.77,"","MADS-box Transcription Factor Family","AT1G31140","salk","SALK_061729","NULL","AGL63","NULL","NULL","At1g31140","NULL","AY141243","NULL","NULL","NULL","MIKC","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_062171C","SALK_062171c","062171c",14,2,14.29,"","Homeobox Transcription Factor Family","AT3G61150","salk","SALK_062171","NULL","HD-GL2-1","NULL","NULL","At3g61150","NULL","NULL","NULL","NULL","NULL","NULL","homeodomain protein, GLABRA2 like 1 (HD-GL2-1)","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_063722C","SALK_063722c","063722c",16,13,81.25,"","Glycoside Hydrolase Gene Families","AT1G64390","salk","SALK_063722","Glycoside Hydrolase Family 9","NULL","NULL","NULL","At1g64390","NULL","AAG21508.1","NULL","NULL","NULL","endo-beta-1,4-glucanase, putative","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_063976C","SALK_063976c","063976c",15,12,80,"","Acyl Lipid Metabolism Family","AT2G02770","salk","SALK_063976","Cytosolic Holo-ACP Synthase","NULL","NULL","T20F6.9","At2g02770","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,"Acyl Lipid Metabolism Family",0,"Treatments"
"SALK_066755C","SALK_066755C","066755C",14,11,78.57,"","C3H Transcription Factor Family","AT2G35000","salk","SALK_066755","NULL","NULL","NULL","NULL","At2g35000","NULL","NULL","NULL","NULL","NULL","NULL","putative RING zinc finger protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_067086C","SALK_067086c","067086c",13,0,0,"","Glycoside Hydrolase Gene Families","AT2G44460","salk","SALK_067086","Glycoside Hydrolase Family 1","NULL","NULL","NULL","At2g44460","NULL","AAC16092.1","NULL","NULL","NULL","putative beta-glucosidase","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_067236","SALK_067236","067236-bulk-t4",25,25,100,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"SALK_069385C","SALK_069385c","069385c",13,8,61.54,"","Glycoside Hydrolase Gene Families","AT3G18080","salk","SALK_069385","Glycoside Hydrolase Family 1","NULL","NULL","NULL","AT3g18080","NULL","AAK25950.1","NULL","NULL","NULL","beta-glucosidase, putative","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_069450C","SALK_069450c","069450c",12,11,91.67,"","Homeobox Transcription Factor Family","AT4G34610","salk","SALK_069450","NULL","NULL","NULL","NULL","At4g34610","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_072465C","SALK_072465c","072465c",17,10,58.82,"","Trihelix Transcription Factor Family","AT1G76880","salk","SALK_072465","NULL","NULL","NULL","NULL","At1g76880","NULL","NULL","NULL","NULL","NULL","NULL","GT-like trihelix DNA-binding protein, putative","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar sequences were identified, then they were aligned, and any mismatched sequences were discarded","NULL","NULL","1501423724","3674","9501260","http://arabidopsis.med.ohio-state.edu/","AGRIS",22,"Trihelix Transcription Factor Family",0,"Treatments"
"SALK_072966C","SALK_072966c","072966c",12,8,66.67,"","BBR/BPC-family of GAGA-motif binding transcription factors","AT2G01930","salk","SALK_072966","Basic Pentacysteine Protein 1","AtBPC1","NULL","F23I14","AT2G01930","AY380334","AAM15473.1","NULL","NULL","NULL","The BBR/BPC-transcription factor family appears to play a role in the regulation of basal transcription","NULL","presence of the GAGA-factor specific IPR010409/DUF1004 DNA-binding domain","NULL","10631","NULL","501711763","14731261","http://www.uni-tuebingen.de/plantphys/harter/wanke/Projects_GAGA-factors.html","BBR/BPC-Proteins",6,"BBR/BPC-family of GAGA-motif binding transcription factors",0,"Treatments"
"SALK_074274C","SALK_074274c","074274c",15,13,86.67,"","Glycoside Hydrolase Gene Families","AT2G32990","salk","SALK_074274","Glycoside Hydrolase Family 9","NULL","NULL","NULL","At2g32990","NULL","AAB91971.1","NULL","NULL","NULL","putative glucanse","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_074379C","SALK_074379c","074379c",12,10,83.33,"","Acyl Lipid Metabolism Family","AT3G11470","salk","SALK_074379","Plastidial Holo-ACP Synthase","NULL","NULL","F24K9.14","At3g11470","NULL","NULL","NULL","NULL","NULL","expressed protein","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,"Acyl Lipid Metabolism Family",0,"Treatments"
"SALK_084513C","SALK_084513c","084513c",13,5,38.46,"","Glycoside Hydrolase Gene Families","AT2G44480","salk","SALK_084513","Glycoside Hydrolase Family 1","NULL","NULL","NULL","At2g44480","NULL","AAC16094.1","NULL","NULL","NULL","putative beta-glucosidase","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_086457C","SALK_086457c","086457c",13,13,100,"","Glycoside Hydrolase Gene Families","AT1G23210","salk","SALK_086457","Glycoside Hydrolase Family 9","NULL","NULL","NULL","At1g23210","NULL","AAC00616.1","NULL","NULL","NULL","Hypothetical protein","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_087083C","SALK_087083c","087083c",13,12,92.31,"","Leucine-rich repeat extensin","AT2G15880","salk","SALK_087083","pollen-expressed leucine-rich repeat extensin","AtPEX3","NULL","F19G14","At2g15880","NM_127148 ","NP_179188.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,"Leucine-rich repeat extensin",0,"Treatments"
"SALK_087636C","SALK_087636c","087636c",12,11,91.67,"","basic region leucine zipper (bZIP) Transcription Factor","AT4G38900","salk","SALK_087636","NULL","BZIP29","NULL","T9A14.180","AT4G38900","NULL","AF401297","NULL","NULL","NULL","\"bZIP protein; vsf-1 protein, Lycopersicon esculentum, PIR2:S52203\" ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_091420C","SALK_091420c","091420c",14,5,35.71,"","C3H Transcription Factor Family","AT1G51930","salk","SALK_091420","NULL","NULL","NULL","NULL","At1g51930","NULL","NULL","NULL","NULL","NULL","NULL","hypothetical protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_094332C","SALK_094332c","094332c",14,14,100,"","C3H Transcription Factor Family","AT3G18930","salk","SALK_094332","NULL","NULL","NULL","NULL","At3g18930","NULL","NULL","NULL","NULL","NULL","NULL","unknown protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_094844C","SALK_094844c","094844c",12,12,100,"","Trihelix Transcription Factor Family","AT1G68690","salk","SALK_094844","NULL","NULL","NULL","NULL","At1g68690","NULL","NULL","NULL","NULL","NULL","NULL","protein kinase, putative","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar sequences were identified, then they were aligned, and any mismatched sequences were discarded","NULL","NULL","1501423724","3674","9501260","http://arabidopsis.med.ohio-state.edu/","AGRIS",22,"Trihelix Transcription Factor Family",0,"Treatments"
"SALK_095299C","SALK_095299c","095299c",16,9,56.25,"","MADS-box Transcription Factor Family","AT1G65300","salk","SALK_095299","NULL","AGL38","NULL","NULL","At1g65300","NULL","AY141245","NULL","NULL","NULL","M gamma","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_096122","SALK_096122","096122c",22,1,4.55,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"SALK_097633C","SALK_097633c","097633c",14,12,85.71,"","Glycoside Hydrolase Gene Families","AT2G44450","salk","SALK_097633","Glycoside Hydrolase Family 1","NULL","NULL","NULL","At2g44450","NULL","AAC16091.1","NULL","NULL","NULL","putative beta-glucosidase","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_097868C","SALK_097868c","097868c",10,1,10,"","Acyl Lipid Metabolism Family","AT1G08980","salk","SALK_097868","Fatty Acid Amide Hydrolase ","NULL","NULL","F7G19.15","At1g08980","NULL","NULL","NULL","NULL","NULL","amidase","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,"Acyl Lipid Metabolism Family",0,"Treatments"
"SALK_098302C","SALK_098302c","098302c",14,14,100,"","Glycoside Hydrolase Gene Families","AT1G70710","salk","SALK_098302","Glycoside Hydrolase Family 9","NULL","NULL","NULL","At1g70710","NULL","CAA67156.1","NULL","NULL","NULL","glycosyl hydrolase family 9 (endo-1,4-beta-glucanase)","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_102656C","SALK_102656c","102656c",12,10,83.33,"","C3H Transcription Factor Family","AT5G01980","salk","SALK_102656","NULL","NULL","NULL","NULL","At5g01980","NULL","NULL","NULL","NULL","NULL","NULL","putative protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_103724C","SALK_103724c","103724c",14,11,78.57,"","MADS-box Transcription Factor Family","AT5G38740","salk","SALK_103724","NULL","AGL77","NULL","NULL","At5g38740","NULL","NM_123235","NULL","NULL","NULL","M beta","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_104701C","SALK_104701C","104701C",13,12,92.31,"","MADS-box Transcription Factor Family","AT3G57230","salk","SALK_104701","NULL","AGL16","NULL","NULL","At3g57230","NULL","NM_115583","NULL","NULL","NULL","MIKC","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_104706C","SALK_104706C","104706C",13,13,100,"","C3H Transcription Factor Family","AT2G30580","salk","SALK_104706","NULL","NULL","NULL","NULL","At2g30580","NULL","NULL","NULL","NULL","NULL","NULL","putative C3HC4 zinc finger protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_105941","SALK_105941","105941c",NA,20,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"SALK_107859C","SALK_107859c","107859c",19,11,57.89,"","C3H Transcription Factor Family","AT1G22510","salk","SALK_107859","NULL","NULL","NULL","NULL","At1g22510","NULL","NULL","NULL","NULL","NULL","NULL","Expressed protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_108221C","SALK_108221c","108221c",11,7,63.64,"","MADS-box Transcription Factor Family","AT5G13790","salk","SALK_108221","NULL","AGL15","NULL","NULL","At5g13790","NULL","U20185","NULL","NULL","NULL","MIKC","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_108266C","SALK_108266C","108266C",12,12,100,"","Homeobox Transcription Factor Family","AT1G23380","salk","SALK_108266","NULL","KNAT6","NULL","NULL","At1g23380","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_109171C","SALK_109171C","109171C",13,11,84.62,"","C3H Transcription Factor Family","AT2G39100","salk","SALK_109171","NULL","NULL","NULL","NULL","At2g39100","NULL","NULL","NULL","NULL","NULL","NULL","putative RING zinc finger protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
